nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,fecha_scraping
BCAA + Glutamine 500g,Quamtrax Direct,BCAA,17.9,0.5,35.8,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/bcaa-glutamine-500g,2026-03-31
High Energy Gel Bcaa 76g,226ers,BCAA,3.15,0.076,41.45,Nutritienda,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g,2026-03-31
BCAA+GLUTAMINE 500g,Ramificados,BCAA,21.28,0.5,42.56,Nutritienda,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g,2026-03-31
Bcaa+Glutamine Concept 500g,MEGA PLUS,BCAA,22.04,0.5,44.08,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g,2026-03-31
BCAA'S + GLUTAMINA 400g,Aminoácidos,BCAA,18.99,0.4,47.47,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g,2026-03-31
PREMIUM BCAA ZERO 8:1:1 + L-GLUTAMINA 500g,Weider,BCAA,28.48,0.5,56.96,Nutritienda,https://www.nutritienda.com/es/weider/premium-bcaa-zero-811-l-glutamina-500g,2026-03-31
BCAA 2:1:1 500g,Life Pro Nutrition,BCAA,28.9,0.5,57.8,Nutritienda,https://www.nutritienda.com/es/life-pro-nutrition/bcaa-2-1-1-500g,2026-03-31
Bcaa+Glutamine Core 300g,Procell,BCAA,18.14,0.3,60.47,Nutritienda,https://www.nutritienda.com/es/procell/bcaa-glutamine-core-300g,2026-03-31
Hardcore BCAA 390g,Mutant,BCAA,23.9,0.39,61.28,Nutritienda,https://www.nutritienda.com/es/mutant/hardcore-bcaa-390g,2026-03-31
AFTER 420g,Biotech USA,BCAA,27.9,0.42,66.43,Nutritienda,https://www.nutritienda.com/es/biotech-usa/after-post-entrenamiento-420g,2026-03-31
Hydra BCAA's 420g,Quamtrax,BCAA,28.9,0.42,68.81,Nutritienda,https://www.nutritienda.com/es/quamtrax/hydra-bcaas-420g,2026-03-31
GLUTAMINA & BCAAS 2:1:1 300g,Be Essential,BCAA,20.65,0.3,68.83,Nutritienda,https://www.nutritienda.com/es/be-essential/glutamina-bcaas-211-300g,2026-03-31
Bcaa+Glutamine 600g,MEGA PLUS,BCAA,43.01,0.6,71.68,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-600g,2026-03-31
Bcaa Sensation 345g,DEDICATED NUTRITION,BCAA,24.99,0.345,72.43,Nutritienda,https://www.nutritienda.com/es/dedicated-nutrition/bcaa-sensation-345g,2026-03-31
BCAA + GLUTAMINE ZERO 480g,Biotech USA,BCAA,35.9,0.48,74.79,Nutritienda,https://www.nutritienda.com/es/biotech-usa/bcaa-glutamina-zero-480g,2026-03-31
BCAA 8:1:1 300g,226ers,BCAA,22.95,0.3,76.5,Nutritienda,https://www.nutritienda.com/es/226ers-bcaa-8-1-1-300g,2026-03-31
BCAA Xpress 280g,Scitec,BCAA,24.9,0.28,88.93,Nutritienda,https://www.nutritienda.com/es/scitec/bcaa-xpress-280g,2026-03-31
BCAA 12:1:1 Glutamina Kojak 400g,Big,BCAA,37.75,0.4,94.38,Nutritienda,https://www.nutritienda.com/es/big/bcaa-12-1-1-glutamina-kojak-400g,2026-03-31
BCAA INSTANT DRINK 300g,,BCAA,34.0,0.3,113.33,Nutritienda,https://www.nutritienda.com/es/amix-performance/bcaa-instant-drink-300g,2026-03-31
AMINOÁCIDOS RAMIFICADOS BCAA'S 120 Caps,KEEPGOING,BCAA,22.05,,,Nutritienda,https://www.nutritienda.com/es/keepgoing/aminoacidos-ramificados-bcaa-120-caps,2026-03-31
BCAA COMPLEX 120 Caps,Aminácidos y Vitaminas,BCAA,17.6,,,Nutritienda,https://www.nutritienda.com/es/nutrend/bcaa-complex-120-caps,2026-03-31
