nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,fecha_scraping
BCAA'S INSTANTÁNEO 2:1:1 2.0 150g,,BCAA,4.5,0.15,30.0,HSN,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,2026-04-12
Recovery Total 700g,Vitobest,BCAA,23.94,0.7,34.2,Nutritienda,https://www.nutritienda.com/es/vitobest/recovery-total-700g,2026-04-12
BCAA'S INSTANTÁNEO 4:1:1 2.0 150g,,BCAA,5.64,0.15,37.6,HSN,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0,2026-04-12
BCAA 2:1:1 300 g,,BCAA,11.89,0.3,39.63,Prozis,https://www.prozis.com/es/es/prozis/bcaa-211-300-g,2026-04-12
High Energy Gel Bcaa 76g,226ers,BCAA,3.15,0.076,41.45,Nutritienda,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g,2026-04-12
BCAA+GLUTAMINE 500g,Ramificados,BCAA,21.3,0.5,42.6,Nutritienda,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g,2026-04-12
Bcaa+Glutamine Concept 500g,MEGA PLUS,BCAA,22.04,0.5,44.08,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g,2026-04-12
BCAA'S + GLUTAMINA 400g,Aminoácidos,BCAA,18.99,0.4,47.47,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g,2026-04-12
Zero BCAA 300 g,,BCAA,14.31,0.3,47.7,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g,2026-04-12
"BCAA, 2:1:1 250g",Myprotein,BCAA,12.6,0.25,50.4,Nutritienda,https://www.nutritienda.com/es/myprotein/bcaa-2-1-1-250g,2026-04-12
BCAA + Glutamine 500g,Quamtrax Direct,BCAA,26.5,0.5,53.0,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/bcaa-glutamine-500g,2026-04-12
PREMIUM BCAA ZERO 8:1:1 + L-GLUTAMINA 500g,Weider,BCAA,28.48,0.5,56.96,Nutritienda,https://www.nutritienda.com/es/weider/premium-bcaa-zero-811-l-glutamina-500g,2026-04-12
BCAA 2:1:1 500g,Life Pro Nutrition,BCAA,28.9,0.5,57.8,Nutritienda,https://www.nutritienda.com/es/life-pro-nutrition/bcaa-2-1-1-500g,2026-04-12
Bcaa+Glutamine Core 300g,Procell,BCAA,18.14,0.3,60.47,Nutritienda,https://www.nutritienda.com/es/procell/bcaa-glutamine-core-300g,2026-04-12
Hardcore BCAA 390g,Mutant,BCAA,23.9,0.39,61.28,Nutritienda,https://www.nutritienda.com/es/mutant/hardcore-bcaa-390g,2026-04-12
BCAA 8:1:1 300 g,,BCAA,18.74,0.3,62.47,Prozis,https://www.prozis.com/es/es/prozis/bcaa-811-300-g,2026-04-12
Hydra BCAA's 420g,Quamtrax,BCAA,28.9,0.42,68.81,Nutritienda,https://www.nutritienda.com/es/quamtrax/hydra-bcaas-420g,2026-04-12
GLUTAMINA & BCAAS 2:1:1 300g,Be Essential,BCAA,20.65,0.3,68.83,Nutritienda,https://www.nutritienda.com/es/be-essential/glutamina-bcaas-211-300g,2026-04-12
AFTER 420g,Biotech USA,BCAA,29.9,0.42,71.19,Nutritienda,https://www.nutritienda.com/es/biotech-usa/after-post-entrenamiento-420g,2026-04-12
Bcaa+Glutamine 600g,MEGA PLUS,BCAA,43.01,0.6,71.68,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-600g,2026-04-12
Bcaa Sensation 345g,DEDICATED NUTRITION,BCAA,24.99,0.345,72.43,Nutritienda,https://www.nutritienda.com/es/dedicated-nutrition/bcaa-sensation-345g,2026-04-12
Zero BCAA 150 g,,BCAA,11.04,0.15,73.6,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-150-g,2026-04-12
BCAA 8:1:1 300g,226ers,BCAA,22.95,0.3,76.5,Nutritienda,https://www.nutritienda.com/es/226ers-bcaa-8-1-1-300g,2026-04-12
EVO 4:1:1 (BCAA'S INSTANTÁNEOS) EN POLVO 150g,,BCAA,12.1,0.15,80.67,HSN,https://www.hsnstore.com/marcas/sport-series/evo-4-1-1-bcaa-s-instantaneos-en-polvo,2026-04-12
BCAA + GLUTAMINE ZERO 480g,Biotech USA,BCAA,38.9,0.48,81.04,Nutritienda,https://www.nutritienda.com/es/biotech-usa/bcaa-glutamina-zero-480g,2026-04-12
EVOBCAA'S COMPLEX EN POLVO 150g,,BCAA,13.06,0.15,87.07,HSN,https://www.hsnstore.com/marcas/sport-series/evobcaas-complex-en-polvo,2026-04-12
BCAA 12:1:1 Glutamina Kojak 400g,Big,BCAA,37.75,0.4,94.38,Nutritienda,https://www.nutritienda.com/es/big/bcaa-12-1-1-glutamina-kojak-400g,2026-04-12
EVOBCAA'S 2.0 (BCAA'S 12:1:1 + GLUTAMINA) 150g,,BCAA,14.19,0.15,94.6,HSN,https://www.hsnstore.com/marcas/sport-series/evobcaa-s-2-0-bcaas-12-1-1-glutamina,2026-04-12
BCAA Xpress 280g,Scitec,BCAA,26.5,0.28,94.64,Nutritienda,https://www.nutritienda.com/es/scitec/bcaa-xpress-280g,2026-04-12
BCAA INSTANT DRINK 300g,,BCAA,34.0,0.3,113.33,Nutritienda,https://www.nutritienda.com/es/amix-performance/bcaa-instant-drink-300g,2026-04-12
Muscle BCAA 4:1:1 120 VCaps,DMI Innovative Nutrition,BCAA,17.5,,,Nutritienda,https://www.nutritienda.com/es/dmi-innovative-nutrition/muscle-bcaa-4-1-1-120-capsulas-vegetales,2026-04-12
"6,4 Amino+ 120 Caps",Glutamina + BCAAs,BCAA,27.0,,,Nutritienda,https://www.nutritienda.com/es/226ers/6-4-amino-glutamina-bcaas-120-caps,2026-04-12
Amino Recovery 120 Caps,Amazin' Foods,BCAA,11.99,,,Nutritienda,https://www.nutritienda.com/es/amazin-foods/amino-recovery-120-capsulas,2026-04-12
AMINO RECOVERY 120 Caps,VICTORY ENDURANCE,BCAA,18.56,,,Nutritienda,https://www.nutritienda.com/es/victory-endurance-amino-recovery-120-caps,2026-04-12
4:1:1 Anabolic BCAA 150 Caps,Starlabs Nutrition,BCAA,19.71,,,Nutritienda,https://www.nutritienda.com/es/starlabs-nutrition/4-1-1-anabolic-bcaa-150-capsulas,2026-04-12
AMINOÁCIDOS RAMIFICADOS BCAA'S 120 Caps,KEEPGOING,BCAA,22.05,,,Nutritienda,https://www.nutritienda.com/es/keepgoing/aminoacidos-ramificados-bcaa-120-caps,2026-04-12
BCAA 4:1:1 Competition 150 Caps,Mega Plus,BCAA,23.21,,,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-4-1-1-competition-150-capsulas,2026-04-12
BCAA'S 2:1:1 200 Tabs,Aminoácidos ramificados,BCAA,14.9,,,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaas-211-aminoacidos-ramificados-200-tabs,2026-04-12
EVO 4:1:1 (BCAA'S 4:1:1 + VITAMINAS B6 Y B12),,BCAA,18.9,,,HSN,https://www.hsnstore.com/marcas/sport-series/evo-4-1-1-bcaa-s-4-1-1-vitaminas-b6-y-b12,2026-04-12
EVO 2:1:1 (BCAA'S 2:1:1 + VITAMINAS B6 Y B12),,BCAA,16.9,,,HSN,https://www.hsnstore.com/marcas/sport-series/evo-2-1-1-bcaa-s-2-1-1-vitaminas-b6-y-b12,2026-04-12
