nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,fecha_scraping
BCAA 2:1:1,,BCAA,16.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-2-1-1/10529280/,2026-04-10
BCAA Comprimidos,,BCAA,10.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-comprimidos/10529813/,2026-04-10
BCAA Esenciales 4:1:1 Cápsulas,,BCAA,12.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-esenciales-4-1-1-capsulas/10860388/,2026-04-10
Origin Intra-Workout,,BCAA,32.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-intra-workout/16872733/,2026-04-10
BCAA 4:1:1 en polvo,,BCAA,16.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-4-1-1-en-polvo/10830546/,2026-04-10
Monohidrato de creatina en polvo - Chupa Chups de sandía 250g,,Creatina,16.99,0.25,67.96,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/monohidrato-de-creatina-en-polvo-chupa-chups-de-sandia/17526822/,2026-04-10
THE Creatine (Creapure) |Sobres monodosis 10g,,Creatina,19.99,0.01,1999.0,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-creatine-creapure-sobres-monodosis/16630358/,2026-04-10
Creatina Monohidrato en Tabletas,,Creatina,16.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-monohidrato-en-tabletas/10575029/,2026-04-10
Creatina Monohidrato en polvo,,Creatina,4.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-monohidrato-en-polvo/10530050/,2026-04-10
Gominolas de creatina,,Creatina,4.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/gominolas-de-creatina/13528283/,2026-04-10
Creatina Micronizada Creapure® Cápsulas,,Creatina,22.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-micronizada-creapure-capsulas/10574930/,2026-04-10
Pack Get Stronger,,Creatina,39.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-get-stronger/14970298/,2026-04-10
THE Creatine Creapure®,,Creatina,25.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-creatine-creapure/10529740/,2026-04-10
Pack Essentials Protein,,Creatina,45.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-essentials-protein/15758094/,2026-04-10
Pack Gainer,,Creatina,59.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-gainer/13437013/,2026-04-10
Creatina HCL,,Creatina,4.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-hcl/17169974/,2026-04-10
THE Electropower | Creatina + Electrolitos,,Creatina,24.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electropower-creatina-electrolitos/16663175/,2026-04-10
THE Electrofuel,,Creatina,17.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electrofuel/16570434/,2026-04-10
Mezcla de Vitaminas,,Creatina,23.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-de-vitaminas/11060427/,2026-04-10
Pack de Rendimiento,,Creatina,104.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-de-rendimiento/15722526/,2026-04-10
Pack Clear Performance,,Creatina,41.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-clear-performance/15288056/,2026-04-10
Impact Pre-Entreno – Venom 440g,,Pre-Entreno,34.99,0.44,79.52,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-pre-entreno-venom/17585477/,2026-04-10
L-Ornitina HCL en polvo 250g,,Pre-Entreno,29.99,0.25,119.96,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-ornitina-hcl-en-polvo/10529383/,2026-04-10
Origin Stim-Free Pre-Workout (muestra) 20g,,Pre-Entreno,2.55,0.02,127.5,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-stim-free-pre-workout-muestra/14269813/,2026-04-10
L-Teanina en polvo 100g,,Pre-Entreno,14.79,0.1,147.9,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-teanina-en-polvo/10530035/,2026-04-10
